uno
uuno
dos
doos
tres
trees
trèes
cuatro
kwaatro
cinco
siinko
seis
seeys
siete
syeete
syèete
ocho
oocho
nueve
nweebe
diez
dyes
dyees
dyèes
once
onse
oonse
doce
dose
trece
treese
catorce
katoorse
quince
kiinse
dieciséis
dyes
diecisiete
dieciocho
diecinueve
veinte
veintiuno
veintidós
veintitrés
veinticuatro
veinticinco
veintiséis
veintisiete
veintiocho
veintinueve
treinta
treinta y uno
treinta y dos
treinta y tres
treinta y cuatro
treinta y cinco
treinta y seis
treinta y siete
treinta y ocho
treinta y nueve
cuarenta
kwarenta
cuarenta y uno
cuarenta y dos
cuarenta y tres
cuarenta y cuatro
cuarenta y cinco
cuarenta y seis
cuarenta y siete
cuarenta y ocho
cuarenta y nueve
cincuenta
cincuenta y uno
cincuenta y dos
cincuenta y tres
cincuenta y cuatro
cincuenta y cinco
cincuenta y seis
cincuenta y siete
cincuenta y ocho
cincuenta y nueve
sesenta
sesenta y uno
sesenta y dos
sesenta y tres
sesenta y cuatro
sesenta y cinco
sesenta y seis
sesenta y siete
sesenta y ocho
sesenta y nueve
setenta
setenta y uno
setenta y dos
setenta y tres
setenta y cuatro
setenta y cinco
setenta y seis
setenta y siete
setenta y ocho
setenta y nueve
ochenta
ochenta y uno
ochenta y dos
ochenta y tres
ochenta y cuatro
ochenta y cinco
ochenta y seis
ochenta y siete
ochenta y ocho
ochenta y nueve
noventa
noventa y uno
noventa y dos
noventa y tres
noventa y cuatro
noventa y cinco
noventa y seis
noventa y siete
noventa y ocho
noventa y nueve
cien
syen
doscientos
dosyentos
trescientos
tresyentos
cuatrocientos
kwatrosyentos
quinientos
kinyentos
seiscientos
seysyentos
setecientos
setesyentos
ochocientos
ochosyentos
novecientos
novesyentos
mil
miil
