jun
ka'
óox
kan
jo'
waak
wak
u'uk
wuk
waxak
bolon
bolom
lajun
lahun
buluk
lajka'a
junk'aal
ka'ak'aal
yóoxk'aal
óoxk'aal
kank'aal
jo'ok'aal
lajunk'aal
jo'olajunk'aal
junk'aax
jumbaak'
